study,entered.by,host.species,host.type,host.therm,parasite.species,parasite.type,parasite.group,parasite.measure,hp_sampled,iduration_bin,iduration_bin_clean,iduration_confidence,sample.size,experimental.design,study.duration,sampling.method,subset.studied,sex,age,condition.measure,cm.speed,condition.quantification,size.measure,external.measure,ott_id,phypc1,phypc2,close,nonclose,vector,intermediate,tmode,effect.direction,yi,yir,rlower,rupper,vi
Nelson et al. 2003 Journal of Wildlife Disease,DJB,Canis_latrans,mammal,endotherm,Dirofilaria immitis,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,637,observational,cross-sectional,LC,no,NA,NA,mass/size ratio,NA,adjusted quantitative,body size,external,247331,NA,NA,0,0,1,0,vector,0,0,0,-0.077683281,0.077683281,0.001577287
Nelson et al. 2003 Journal of Wildlife Disease,DJB,Canis_latrans,mammal,endotherm,Dirofilaria immitis,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,637,observational,cross-sectional,LC,no,NA,NA,mass/size ratio,NA,adjusted quantitative,body size,external,247331,NA,NA,0,0,1,0,vector,1,0.108405698,0.107983031,0.030556069,0.18412181,0.001577287
Nelson et al. 2003 Journal of Wildlife Disease,DJB,Canis_latrans,mammal,endotherm,Dirofilaria immitis,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,637,observational,cross-sectional,LC,no,NA,NA,percent marrow fat,NA,raw quantitative,not body size,invasive,247331,NA,NA,0,0,1,0,vector,1,0.014636657,0.014635612,-0.063119432,0.092214051,0.001577287
Nelson et al. 2003 Journal of Wildlife Disease,DJB,Canis_latrans,mammal,endotherm,Dirofilaria immitis,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,637,observational,cross-sectional,LC,no,NA,NA,percent marrow fat,NA,raw quantitative,not body size,invasive,247331,NA,NA,0,0,1,0,vector,-1,-0.029554043,-0.029545441,-0.106983175,0.048248579,0.001577287
Sacks & Blejwas 2000 Canadian Journal of Zoology,CAS,Canis_latrans,mammal,endotherm,Dirofilaria immitis,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,23,observational,longitudinal,LC,no,NA,NA,rate of change in mass,NA,raw quantitative,body size,external,247331,NA,NA,0,0,1,0,vector,-1,-0.652435518,-0.573307258,-0.79713232,-0.210958471,0.05
Castro et al. 2016 International Journal of Acarology,LMB,Capra_pyrenaica,mammal,endotherm,Sarcoptes scabiei,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,315,observational,cross-sectional,LC,no,NA,NA,body weight,NA,raw quantitative,body size,external,338215,NA,NA,1,1,0,0,multiple modes,-1,-0.998986278,-0.76116809,-0.804043793,-0.710416953,0.003205128
Castro et al. 2016 International Journal of Acarology,LMB,Capra_pyrenaica,mammal,endotherm,Sarcoptes scabiei,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,315,observational,cross-sectional,LC,no,NA,NA,kidney fat index (average between weight of right and left kidneys without fat and with fat),NA,raw quantitative,not body size,invasive,338215,NA,NA,1,1,0,0,multiple modes,1,2.28271406,0.979403469,0.974351392,0.983468756,0.003205128
Pegg et al. 2011 Ecology of Freshwater Fish,CST,Carassius_carassius,fish,ectotherm,Philometroides sanguineus,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,39,observational,cross-sectional,LC,no,NA,NA,mass/length^3,NA,adjusted quantitative,body size,external,1010092,NA,NA,NA,NA,NA,NA,NA,1,0.023902296,0.023897745,-0.293834864,0.336874712,0.027777778
Pegg et al. 2011 Ecology of Freshwater Fish,CST,Carassius_carassius,fish,ectotherm,Philometroides sanguineus,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,14,observational,cross-sectional,LC,no,NA,NA,mass/length^3,NA,adjusted quantitative,body size,external,1010092,NA,NA,NA,NA,NA,NA,NA,-1,-0.616033888,-0.548360557,-0.835772883,-0.025077253,0.090909091
Pegg et al. 2011 Ecology of Freshwater Fish,CST,Carassius_carassius,fish,ectotherm,Philometroides sanguineus,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,69,observational,cross-sectional,LC,no,NA,NA,mass/length^3,NA,adjusted quantitative,body size,external,1010092,NA,NA,NA,NA,NA,NA,NA,1,0.323876487,0.313007844,0.082434109,0.511774772,0.015151515
Pegg et al. 2011 Ecology of Freshwater Fish,CST,Carassius_carassius,fish,ectotherm,Philometroides sanguineus,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,90,observational,cross-sectional,LC,no,NA,NA,mass/length^3,NA,adjusted quantitative,body size,external,1010092,NA,NA,NA,NA,NA,NA,NA,1,0.11387322,0.113383557,-0.095960787,0.313122332,0.011494253
Pegg et al. 2011 Ecology of Freshwater Fish,CST,Carassius_carassius,fish,ectotherm,Philometroides sanguineus,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,88,observational,cross-sectional,LC,no,NA,NA,mass/length^3,NA,adjusted quantitative,body size,external,1010092,NA,NA,NA,NA,NA,NA,NA,1,0.094607277,0.094326022,-0.117436288,0.297883337,0.011764706
Pegg et al. 2011 Ecology of Freshwater Fish,CST,Carassius_carassius,fish,ectotherm,Philometroides sanguineus,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,155,observational,cross-sectional,LC,no,NA,NA,mass/length^3,NA,adjusted quantitative,body size,external,1010092,NA,NA,NA,NA,NA,NA,NA,1,0.146409703,0.145372459,-0.012563708,0.296231741,0.006578947
Harper 1999 Animal Behaviour,CAS,Carduelis_cannabina,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,26,observational,cross-sectional,LC,yes,M,A,pectoral muscle scores,NA,qualitative,not body size,external,637969,NA,NA,NA,NA,NA,NA,NA,1,0.395392825,0.376,-0.013287135,0.666307963,0.043478261
Harper 1999 Animal Behaviour,CAS,Carduelis_cannabina,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,32,observational,cross-sectional,LC,yes,M,J,pectoral muscle scores,NA,qualitative,not body size,external,637969,NA,NA,NA,NA,NA,NA,NA,-1,-0.458670484,-0.429,-0.676496981,-0.094432101,0.034482759
Harper 1999 Animal Behaviour,CAS,Carduelis_cannabina,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,42,observational,cross-sectional,LC,yes,M,J,pectoral muscle scores,NA,qualitative,not body size,external,637969,NA,NA,NA,NA,NA,NA,NA,1,0.031009936,0.031,-0.275527344,0.331805135,0.025641026
Galvan et al. 2012 Journal of Avian Biology,CAS,Carduelis_cannabina,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,715,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,637969,NA,NA,NA,NA,NA,NA,NA,1,0.048036915,0.048,-0.02541037,0.12089546,0.001404494
Galvan et al. 2012 Journal of Avian Biology,CAS,Carduelis_carduelis,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,120,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,1083719,NA,NA,NA,NA,NA,NA,NA,-1,-0.087220503,-0.087,-0.262153321,0.093702536,0.008547009
Harper 1999 Animal Behaviour,CAS,Carduelis_chloris,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,42,observational,cross-sectional,LC,yes,M,J,pectoral muscle scores,NA,qualitative,not body size,external,1083715,NA,NA,NA,NA,NA,NA,NA,1,0.169607861,0.168,-0.143245546,0.449004957,0.025641026
Harper 1999 Animal Behaviour,CAS,Carduelis_chloris,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,35,observational,cross-sectional,LC,yes,M,A,pectoral muscle scores,NA,qualitative,not body size,external,1083715,NA,NA,NA,NA,NA,NA,NA,-1,-0.027006564,-0.027,-0.357034075,0.309027064,0.03125
Harper 1999 Animal Behaviour,CAS,Carduelis_chloris,bird,endotherm,"feather mite (Acari, Proctophyllodidae)",ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,29,observational,cross-sectional,LC,yes,F,A,pectoral muscle scores,NA,qualitative,not body size,external,1083715,NA,NA,NA,NA,NA,NA,NA,-1,-0.323867791,-0.313,-0.609577246,0.060439017,0.038461538
Galvan et al. 2012 Journal of Avian Biology,CAS,Carduelis_chloris,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,1266,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,1083715,NA,NA,NA,NA,NA,NA,NA,-1,-0.152163611,-0.151,-0.204393868,-0.096710287,0.000791766
Garvin et al. 2006 Journal of Parasitology,DJB,Catharus_ustulatus,bird,endotherm,Haemoproteus,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,106,observational,cross-sectional,LC,no,NA,NA,body mass,NA,raw quantitative,body size,external,489372,NA,NA,NA,NA,NA,NA,NA,-1,-0.00376183,-0.003761812,-0.194377741,0.18712788,0.009708738
Garvin et al. 2006 Journal of Parasitology,DJB,Catharus_ustulatus,bird,endotherm,Haemoproteus,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,106,observational,cross-sectional,LC,no,NA,NA,fat score,NA,qualitative,not body size,external,489372,NA,NA,NA,NA,NA,NA,NA,1,0.06437887,0.064290074,-0.128035524,0.251955584,0.009708738
Galvan et al. 2012 Journal of Avian Biology,CAS,Cecropis_daurica,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,34,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,641125,NA,NA,NA,NA,NA,NA,NA,-1,-0.095287349,-0.095,-0.419683068,0.251236868,0.032258065
Galvan et al. 2012 Journal of Avian Biology,CAS,Certhia_brachydactyla,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,69,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,1007172,NA,NA,NA,NA,NA,NA,NA,1,0.240533924,0.236,-0.000720965,0.447675067,0.015151515
Vicente et al. 2004 Parasitology,AKD,Cervus_elaphus_hispanicus,mammal,endotherm,Cephenemyia auribarbis and Pharyngomyia picta,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,134,observational,cross-sectional,LC,yes,NA,A,residual of body mass on jaw length,NA,adjusted quantitative,body size,external,640739,NA,NA,NA,NA,NA,NA,NA,1,0.164696272,0.163223133,-0.006546482,0.323847203,0.007633588
Vicente et al. 2004 Parasitology,AKD,Cervus_elaphus_hispanicus,mammal,endotherm,Cephenemyia auribarbis and Pharyngomyia picta,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,91,observational,cross-sectional,LC,yes,NA,J,residual of body mass on jaw length,NA,adjusted quantitative,body size,external,640739,NA,NA,NA,NA,NA,NA,NA,-1,-0.302208622,-0.293332501,-0.470834111,-0.093006186,0.011363636
Vicente et al. 2004 Parasitology,AKD,Cervus_elaphus_hispanicus,mammal,endotherm,Cephenemyia auribarbis and Pharyngomyia picta,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,261,observational,cross-sectional,LC,yes,NA,J,residual of body mass on jaw length,NA,adjusted quantitative,body size,external,640739,NA,NA,NA,NA,NA,NA,NA,-1,-0.12937045,-0.128653504,-0.246227165,-0.00734829,0.003875969
Vicente et al. 2007 Naturwissenschaften,CAS,Cervus_elaphus_hispanicus,mammal,endotherm,Elaphostrongylus cervi,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,34,observational,cross-sectional,LC,yes,F,J,kidney fat index,NA,raw quantitative,not body size,invasive,936014,NA,NA,0,0,0,1,intermediate,-1,-0.331647109,-0.32,-0.59389818,0.020369997,0.032258065
Vicente et al. 2007 Naturwissenschaften,CAS,Cervus_elaphus_hispanicus,mammal,endotherm,Elaphostrongylus cervi,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,41,observational,cross-sectional,LC,yes,F,J,kidney fat index,NA,raw quantitative,not body size,invasive,936014,NA,NA,0,0,0,1,intermediate,1,0.120581028,0.12,-0.194843694,0.412424534,0.026315789
Vicente et al. 2007 Naturwissenschaften,CAS,Cervus_elaphus_hispanicus,mammal,endotherm,Elaphostrongylus cervi,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,16,observational,cross-sectional,LC,yes,M,J,kidney fat index,NA,raw quantitative,not body size,invasive,936014,NA,NA,0,0,0,1,intermediate,-1,-0.140925576,-0.14,-0.594451164,0.382231733,0.076923077
Vicente et al. 2007 Naturwissenschaften,CAS,Cervus_elaphus_hispanicus,mammal,endotherm,Elaphostrongylus cervi,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,111,observational,cross-sectional,LC,yes,F,J,kidney fat index,NA,raw quantitative,not body size,invasive,936014,NA,NA,0,0,0,1,intermediate,1,0.100335348,0.1,-0.088033792,0.281152423,0.009259259
Vicente et al. 2007 Oecologia,CAS,Cervus_elaphus_hispanicus,mammal,endotherm,Elaphostrongylus cervi,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,399,observational,cross-sectional,LC,no,NA,NA,kidney fat index,NA,raw quantitative,not body size,invasive,936014,NA,NA,0,0,0,1,intermediate,-1,-0.112435991,-0.111964575,-0.20785447,-0.013943191,0.002525253
Vicente et al. 2007 Naturwissenschaften,CAS,Cervus_elaphus_hispanicus,mammal,endotherm,Elaphostrongylus cervi,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,147,observational,cross-sectional,LC,yes,M,A,kidney fat index,NA,raw quantitative,not body size,invasive,936014,NA,NA,0,0,0,1,intermediate,-1,-0.255412812,-0.25,-0.39587107,-0.091823098,0.006944444
Vicente et al. 2007 Naturwissenschaften,CAS,Cervus_elaphus_hispanicus,mammal,endotherm,Elaphostrongylus cervi,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,38,observational,cross-sectional,LC,yes,F,J,kidney fat index,NA,raw quantitative,not body size,invasive,936014,NA,NA,0,0,0,1,intermediate,-1,-0.213171347,-0.21,-0.496360908,0.11757669,0.028571429
Vicente et al. 2007 Naturwissenschaften,CAS,Cervus_elaphus_hispanicus,mammal,endotherm,Elaphostrongylus cervi,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,41,observational,cross-sectional,LC,yes,M,J,kidney fat index,NA,raw quantitative,not body size,invasive,936014,NA,NA,0,0,0,1,intermediate,1,0.13073985,0.13,-0.185051497,0.420819937,0.026315789
Vicente et al. 2007 Naturwissenschaften,CAS,Cervus_elaphus_hispanicus,mammal,endotherm,Elaphostrongylus cervi,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,18,observational,cross-sectional,LC,yes,M,J,kidney fat index (weight of the fat that surrounds the kidney in relation to kidney weight expressed as a percentage),NA,raw quantitative,not body size,invasive,936014,NA,NA,0,0,0,1,intermediate,1,0.171666664,0.17,-0.322463314,0.590039843,0.066666667
Irvine et al. 2006 Parasitology,AKD,Cervus_elaphus_hispanicus,mammal,endotherm,Ostertagia spp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,87,observational,cross-sectional,LC,yes,F,NA,carcass weight in relation to hind leg length,NA,adjusted quantitative,body size,external,936014,NA,NA,NA,NA,NA,NA,NA,-1,-0.341552757,-0.328862926,-0.504558211,-0.127013454,0.011904762
Galvan et al. 2012 Journal of Avian Biology,CAS,Cettia_cetti,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,246,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,1010418,NA,NA,NA,NA,NA,NA,NA,1,0.158309385,0.157,0.032566116,0.276641101,0.004115226
Aeby et al. 2002 Behavioral Ecology Sociobiology,CST,Chaetodon_multicinctus,fish,ectotherm,multiple trematodes,helminth,helminth,intensity,hp randomly sampled,3,chronic,3,45,experimental,NA,CZ,no,NA,NA,mass/length ratio,rapid,adjusted quantitative,body size,external,766709,NA,NA,NA,NA,NA,NA,NA,1,0.408617676,0.387298335,0.105791331,0.611332762,0.023809524
Ostlund-Nilsson et al. 2005 MARINE ECOLOGY PROGRESS SERIES,DJB,Cheilodipterus_quinquelineatus,fish,ectotherm,Anilocra apogonae,ectoparasite,ectoparasite,binary infection,hp not randomly sampled,NA,NA,NA,46,observational,cross-sectional,LC,no,NA,NA,Fultonâ€™s condition index (100*W/L^3),NA,adjusted quantitative,body size,external,364614,NA,NA,NA,NA,NA,NA,NA,-1,-0.041206652,-0.041183345,-0.327565201,0.252129014,0.023255814
Galvan et al. 2012 Journal of Avian Biology,CAS,Chersophilus_duponti,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,421,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,876889,NA,NA,NA,NA,NA,NA,NA,1,0.045030412,0.045,-0.050790817,0.1399704,0.002392344
Reinhardt 2001 Behavioral Ecology and Sociobiology,CAS,Chorthippus_parallelus,invertebrate,ectotherm,gregarines,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,58,observational,cross-sectional,LC,yes,M,NA,femur length,NA,raw quantitative,body size,external,456790,NA,NA,NA,NA,NA,NA,NA,1,0.052046946,0.052,-0.209104335,0.30618331,0.018181818
Reinhardt 2001 Behavioral Ecology and Sociobiology,CAS,Chorthippus_parallelus,invertebrate,ectotherm,gregarines,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,58,observational,cross-sectional,LC,yes,M,NA,mass~femur length residuals,NA,adjusted quantitative,body size,external,456790,NA,NA,NA,NA,NA,NA,NA,-1,-0.065091774,-0.065,-0.317957515,0.196596477,0.018181818
Cloutier et al. 2011 J. Roy. Soc. New Zealand,LMB,Chroicocephalus_scopulinus,bird,endotherm,Plasmodium,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,243,observational,cross-sectional,LC,yes,NA,A,"residuals of body weight regressed against first PCA of culmen length, bill depth, and wing length",NA,adjusted quantitative,body size,external,416082,NA,NA,NA,NA,NA,NA,NA,-1,-0.352423095,-0.338522715,-0.445392868,-0.2221418,0.004166667
Galvan et al. 2012 Journal of Avian Biology,CAS,Coccothraustes_coccothraustes,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,40,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,1083711,NA,NA,NA,NA,NA,NA,NA,1,0.168578995,0.167,-0.15243957,0.454847257,0.027027027
Villanua et al. 2006 Ibis,CST,Columba_palumbus,bird,endotherm,Trichomonas gallinae,protozoan,microparasite,binary infection,hp randomly sampled,2,acute,2,91,observational,cross-sectional,LC,no,NA,NA,fat deposit score,medium,qualitative,not body size,invasive,938408,NA,NA,NA,NA,NA,NA,NA,-1,-0.203077337,-0.200330969,-0.390178185,0.005855458,0.011363636
